"week","rank","song","artist"
2019-03-23,80,"Whiskey Glasses","Morgan Wallen"
2019-03-23,81,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-03-23,82,"Look What God Gave Her","Thomas Rhett"
2019-03-23,83,"Miss Me More","Kelsea Ballerini"
2019-03-23,84,"One That Got Away","Michael Ray"
2019-03-23,85,"Undrunk","FLETCHER"
2019-03-23,86,"Night Shift","Jon Pardi"
2019-03-23,87,"Calling My Spirit","Kodak Black"
2019-03-23,88,"Rumor","Lee Brice"
2019-03-23,89,"Secreto","Anuel AA & Karol G"
2019-03-23,90,"What Makes You Country","Luke Bryan"
2019-03-23,91,"Flaws And Sins","Juice WRLD"
2019-03-23,92,"Calma","Pedro Capo X Farruko"
2019-03-23,93,"Lovely","Billie Eilish & Khalid"
2019-03-23,94,"When The Party's Over","Billie Eilish"
2019-03-23,95,"Nights Like This","Kehlani Featuring Ty Dolla $ign"
2019-03-23,96,"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy"
2019-03-23,97,"I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J Balvin"
2019-03-23,98,"Talk You Out Of It","Florida Georgia Line"
2019-03-23,99,"Faucet Failure","Ski Mask The Slump God"
2019-03-23,100,"Always Remember Us This Way","Lady Gaga"
2019-03-30,1,"7 Rings","Ariana Grande"
2019-03-30,2,"Without Me","Halsey"
2019-03-30,3,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-03-30,4,"Wow.","Post Malone"
2019-03-30,5,"Please Me","Cardi B & Bruno Mars"
2019-03-30,6,"Happier","Marshmello & Bastille"
2019-03-30,7,"Shallow","Lady Gaga & Bradley Cooper"
2019-03-30,8,"Sucker","Jonas Brothers"
2019-03-30,9,"Middle Child","J. Cole"
2019-03-30,10,"Going Bad","Meek Mill Featuring Drake"
2019-03-30,11,"Thotiana","Blueface"
2019-03-30,12,"Eastside","benny blanco, Halsey & Khalid"
2019-03-30,13,"Sicko Mode","Travis Scott"
2019-03-30,14,"High Hopes","Panic! At The Disco"
2019-03-30,15,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
2019-03-30,16,"Murder On My Mind","YNW Melly"
2019-03-30,17,"Dancing With A Stranger","Sam Smith & Normani"
2019-03-30,18,"Better","Khalid"
2019-03-30,19,"Thank U, Next","Ariana Grande"
2019-03-30,20,"Sweet But Psycho","Ava Max"
2019-03-30,21,"A Lot","21 Savage"
2019-03-30,22,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-03-30,23,"Be Alright","Dean Lewis"
2019-03-30,24,"Drip Too Hard","Lil Baby & Gunna"
2019-03-30,25,"Beautiful Crazy","Luke Combs"
2019-03-30,26,"Money","Cardi B"
2019-03-30,27,"Better Now","Post Malone"
2019-03-30,28,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-03-30,29,"You Say","Lauren Daigle"
2019-03-30,30,"MIA","Bad Bunny Featuring Drake"
2019-03-30,31,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-03-30,32,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2019-03-30,33,"Youngblood","5 Seconds Of Summer"
2019-03-30,34,"Pure Water","Mustard & Migos"
2019-03-30,35,"Robbery","Juice WRLD"
2019-03-30,36,"Look Back At It","A Boogie Wit da Hoodie"
2019-03-30,37,"Baby Shark","Pinkfong"
2019-03-30,38,"Tequila","Dan + Shay"
2019-03-30,39,"Envy Me","Calboy"
2019-03-30,40,"Lucid Dreams","Juice WRLD"
2019-03-30,41,"Talk","Khalid"
2019-03-30,42,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-03-30,43,"Mixed Personalities","YNW Melly Featuring Kanye West"
2019-03-30,44,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-03-30,45,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-03-30,46,"Bury A Friend","Billie Eilish"
2019-03-30,47,"Millionaire","Chris Stapleton"
2019-03-30,48,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
2019-03-30,49,"Put A Date On It","Yo Gotti Featuring Lil Baby"
2019-03-30,50,"Act Up","City Girls"
2019-03-30,51,"Twerk","City Girls Featuring Cardi B"
2019-03-30,52,"Girls Need Love","Summer Walker X Drake"
2019-03-30,53,"Here Tonight","Brett Young"
2019-03-30,54,"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
2019-03-30,55,"Numb Numb Juice","ScHoolboy Q"
2019-03-30,56,"Worth It","YK Osiris"
2019-03-30,57,"Pure Cocaine","Lil Baby"
2019-03-30,58,"Close Friends","Lil Baby"
2019-03-30,59,"Bad Liar","Imagine Dragons"
2019-03-30,60,"Hear Me Calling","Juice WRLD"
2019-03-30,61,"Eyes On You","Chase Rice"
2019-03-30,62,"Sally Walker","Iggy Azalea"
2019-03-30,63,"Take It From Me","Jordan Davis"
2019-03-30,64,"This Is It","Scotty McCreery"
2019-03-30,65,"Shot Clock","Ella Mai"
2019-03-30,66,"I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J Balvin"
2019-03-30,67,"Empty","Juice WRLD"
2019-03-30,68,"Undrunk","FLETCHER"
2019-03-30,69,"Good As You","Kane Brown"
2019-03-30,70,"Saturday Nights","Khalid & Kane Brown"
2019-03-30,71,"I","Lil Skies"
2019-03-30,72,"There Was This Girl","Riley Green"
2019-03-30,73,"Undecided","Chris Brown"
2019-03-30,74,"Girl Like You","Jason Aldean"
2019-03-30,75,"Whiskey Glasses","Morgan Wallen"
2019-03-30,76,"Make It Sweet","Old Dominion"
2019-03-30,77,"Miss Me More","Kelsea Ballerini"
2019-03-30,78,"One That Got Away","Michael Ray"
2019-03-30,79,"Here With Me","Marshmello Featuring CHVRCHES"
2019-03-30,80,"Look What God Gave Her","Thomas Rhett"
2019-03-30,81,"Down To The Honkytonk","Jake Owen"
2019-03-30,82,"GIRL","Maren Morris"
2019-03-30,83,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-03-30,84,"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy"
2019-03-30,85,"Night Shift","Jon Pardi"
2019-03-30,86,"Fast","Juice WRLD"
2019-03-30,87,"Wish You Were Gay","Billie Eilish"
2019-03-30,88,"Rumor","Lee Brice"
2019-03-30,89,"Walk Me Home","P!nk"
2019-03-30,90,"Faucet Failure","Ski Mask The Slump God"
2019-03-30,91,"Calma","Pedro Capo X Farruko"
2019-03-30,92,"Calling My Spirit","Kodak Black"
2019-03-30,93,"Talk You Out Of It","Florida Georgia Line"
2019-03-30,94,"Secreto","Anuel AA & Karol G"
2019-03-30,95,"On My Way To You","Cody Johnson"
2019-03-30,96,"Slow Dancing In The Dark","Joji"
2019-03-30,97,"Let Me Down Slowly","Alec Benjamin + Alessia Cara"
2019-03-30,98,"Lovely","Billie Eilish & Khalid"
2019-03-30,99,"My Bad","Khalid"
2019-03-30,100,"Love Wins","Carrie Underwood"
2019-04-06,1,"7 Rings","Ariana Grande"
2019-04-06,2,"Wow.","Post Malone"
2019-04-06,3,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-04-06,4,"Without Me","Halsey"
2019-04-06,5,"Please Me","Cardi B & Bruno Mars"
2019-04-06,6,"Happier","Marshmello & Bastille"
2019-04-06,7,"Middle Child","J. Cole"
2019-04-06,8,"Thotiana","Blueface"
2019-04-06,9,"Sucker","Jonas Brothers"
2019-04-06,10,"Shallow","Lady Gaga & Bradley Cooper"
2019-04-06,11,"Eastside","benny blanco, Halsey & Khalid"
2019-04-06,12,"Going Bad","Meek Mill Featuring Drake"
2019-04-06,13,"High Hopes","Panic! At The Disco"
2019-04-06,14,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
2019-04-06,15,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2019-04-06,16,"Better","Khalid"
2019-04-06,17,"Dancing With A Stranger","Sam Smith & Normani"
2019-04-06,18,"Sicko Mode","Travis Scott"
2019-04-06,19,"Murder On My Mind","YNW Melly"
2019-04-06,20,"Sweet But Psycho","Ava Max"
2019-04-06,21,"Thank U, Next","Ariana Grande"
2019-04-06,22,"A Lot","21 Savage"
2019-04-06,23,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-04-06,24,"Be Alright","Dean Lewis"
2019-04-06,25,"Beautiful Crazy","Luke Combs"
2019-04-06,26,"Drip Too Hard","Lil Baby & Gunna"
2019-04-06,27,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-04-06,28,"Money","Cardi B"
2019-04-06,29,"Better Now","Post Malone"
2019-04-06,30,"You Say","Lauren Daigle"
2019-04-06,31,"Pure Water","Mustard & Migos"
2019-04-06,32,"Youngblood","5 Seconds Of Summer"
2019-04-06,33,"Baby Shark","Pinkfong"
2019-04-06,34,"MIA","Bad Bunny Featuring Drake"
2019-04-06,35,"Look Back At It","A Boogie Wit da Hoodie"
2019-04-06,36,"Envy Me","Calboy"
2019-04-06,37,"Robbery","Juice WRLD"
2019-04-06,38,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-04-06,39,"Tequila","Dan + Shay"
2019-04-06,40,"Talk","Khalid"
2019-04-06,41,"Bury A Friend","Billie Eilish"
2019-04-06,42,"Mixed Personalities","YNW Melly Featuring Kanye West"
2019-04-06,43,"Act Up","City Girls"
2019-04-06,44,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-04-06,45,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-04-06,46,"Put A Date On It","Yo Gotti Featuring Lil Baby"
2019-04-06,47,"Lucid Dreams","Juice WRLD"
2019-04-06,48,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-04-06,49,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
2019-04-06,50,"Twerk","City Girls Featuring Cardi B"
2019-04-06,51,"Here Tonight","Brett Young"
2019-04-06,52,"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
2019-04-06,53,"Here With Me","Marshmello Featuring CHVRCHES"
2019-04-06,54,"Eyes On You","Chase Rice"
2019-04-06,55,"Worth It","YK Osiris"
2019-04-06,56,"Bad Liar","Imagine Dragons"
2019-04-06,57,"Close Friends","Lil Baby"
2019-04-06,58,"Girls Need Love","Summer Walker X Drake"
2019-04-06,59,"Good As You","Kane Brown"
2019-04-06,60,"Miss Me More","Kelsea Ballerini"
2019-04-06,61,"Undrunk","FLETCHER"
2019-04-06,62,"Shot Clock","Ella Mai"
2019-04-06,63,"Walk Me Home","P!nk"
2019-04-06,64,"Millionaire","Chris Stapleton"
2019-04-06,65,"Down To The Honkytonk","Jake Owen"
2019-04-06,66,"Whiskey Glasses","Morgan Wallen"
2019-04-06,67,"One That Got Away","Michael Ray"
2019-04-06,68,"This Is It","Scotty McCreery"
2019-04-06,69,"Look What God Gave Her","Thomas Rhett"
2019-04-06,70,"Pure Cocaine","Lil Baby"
2019-04-06,71,"There Was This Girl","Riley Green"
2019-04-06,72,"Price On My Head","NAV Featuring The Weeknd"
2019-04-06,73,"Saturday Nights","Khalid & Kane Brown"
2019-04-06,74,"Make It Sweet","Old Dominion"
2019-04-06,75,"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy"
2019-04-06,76,"Girl Like You","Jason Aldean"
2019-04-06,77,"GIRL","Maren Morris"
2019-04-06,78,"Confessions Of A Dangerous Mind","Logic"
2019-04-06,79,"Take It From Me","Jordan Davis"
2019-04-06,80,"Splashin","Rich The Kid"
2019-04-06,81,"Night Shift","Jon Pardi"
2019-04-06,82,"I","Lil Skies"
2019-04-06,83,"Rumor","Lee Brice"
2019-04-06,84,"Wish You Were Gay","Billie Eilish"
2019-04-06,85,"I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J Balvin"
2019-04-06,86,"Hear Me Calling","Juice WRLD"
2019-04-06,87,"Faucet Failure","Ski Mask The Slump God"
2019-04-06,88,"Talk You Out Of It","Florida Georgia Line"
2019-04-06,89,"Tap","NAV Featuring Meek Mill"
2019-04-06,90,"Calma","Pedro Capo X Farruko"
2019-04-06,91,"Undecided","Chris Brown"
2019-04-06,92,"On My Way To You","Cody Johnson"
2019-04-06,93,"Secreto","Anuel AA & Karol G"
2019-04-06,94,"Calling My Spirit","Kodak Black"
2019-04-06,95,"Pop Out","Polo G Featuring Lil Tjay"
2019-04-06,96,"Lovely","Billie Eilish & Khalid"
2019-04-06,97,"Don't Call Me Up","Mabel"
2019-04-06,98,"Last Hurrah","Bebe Rexha"
2019-04-06,99,"Empty","Juice WRLD"
2019-04-06,100,"Love Wins","Carrie Underwood"
2019-04-13,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2019-04-13,2,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-04-13,3,"7 Rings","Ariana Grande"
2019-04-13,4,"Wow.","Post Malone"
2019-04-13,5,"Without Me","Halsey"
2019-04-13,6,"Please Me","Cardi B & Bruno Mars"
2019-04-13,7,"Bad Guy","Billie Eilish"
2019-04-13,8,"Sucker","Jonas Brothers"
2019-04-13,9,"Happier","Marshmello & Bastille"
2019-04-13,10,"Middle Child","J. Cole"
2019-04-13,11,"Shallow","Lady Gaga & Bradley Cooper"
2019-04-13,12,"Eastside","benny blanco, Halsey & Khalid"
2019-04-13,13,"Thotiana","Blueface"
2019-04-13,14,"Going Bad","Meek Mill Featuring Drake"
2019-04-13,15,"Dancing With A Stranger","Sam Smith & Normani"
2019-04-13,16,"Better","Khalid"
2019-04-13,17,"High Hopes","Panic! At The Disco"
2019-04-13,18,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
2019-04-13,19,"Sweet But Psycho","Ava Max"
2019-04-13,20,"Sicko Mode","Travis Scott"
2019-04-13,21,"Murder On My Mind","YNW Melly"
2019-04-13,22,"A Lot","21 Savage"
2019-04-13,23,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-04-13,24,"Thank U, Next","Ariana Grande"
2019-04-13,25,"Bury A Friend","Billie Eilish"
2019-04-13,26,"Beautiful Crazy","Luke Combs"
2019-04-13,27,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-04-13,28,"Be Alright","Dean Lewis"
2019-04-13,29,"When The Party's Over","Billie Eilish"
2019-04-13,30,"Drip Too Hard","Lil Baby & Gunna"
2019-04-13,31,"Wish You Were Gay","Billie Eilish"
2019-04-13,32,"You Say","Lauren Daigle"
2019-04-13,33,"Pure Water","Mustard & Migos"
2019-04-13,34,"Better Now","Post Malone"
2019-04-13,35,"Xanny","Billie Eilish"
2019-04-13,36,"Money","Cardi B"
2019-04-13,37,"Look Back At It","A Boogie Wit da Hoodie"
2019-04-13,38,"Envy Me","Calboy"
2019-04-13,39,"Talk","Khalid"
2019-04-13,40,"Youngblood","5 Seconds Of Summer"
2019-04-13,41,"You Should See Me In A Crown","Billie Eilish"
2019-04-13,42,"Baby Shark","Pinkfong"
2019-04-13,43,"My Strange Addiction","Billie Eilish"
2019-04-13,44,"Racks In The Middle","Nipsey Hussle Featuring Roddy Ricch & Hit-Boy"
2019-04-13,45,"MIA","Bad Bunny Featuring Drake"
2019-04-13,46,"All The Good Girls Go To Hell","Billie Eilish"
2019-04-13,47,"Act Up","City Girls"
2019-04-13,48,"Robbery","Juice WRLD"
2019-04-13,49,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-04-13,50,"Tequila","Dan + Shay"
2019-04-13,51,"Here Tonight","Brett Young"
2019-04-13,52,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-04-13,53,"I Love You","Billie Eilish"
2019-04-13,54,"Mixed Personalities","YNW Melly Featuring Kanye West"
2019-04-13,55,"Here With Me","Marshmello Featuring CHVRCHES"
2019-04-13,56,"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
2019-04-13,57,"Put A Date On It","Yo Gotti Featuring Lil Baby"
2019-04-13,58,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
2019-04-13,59,"God's Country","Blake Shelton"
2019-04-13,60,"Worth It","YK Osiris"
2019-04-13,61,"Eyes On You","Chase Rice"
2019-04-13,62,"Ilomilo","Billie Eilish"
2019-04-13,63,"Listen Before I Go","Billie Eilish"
2019-04-13,64,"Close Friends","Lil Baby"
2019-04-13,65,"Double Up","Nipsey Hussle Featuring Belly & DOM KENNEDY"
2019-04-13,66,"Bad Liar","Imagine Dragons"
2019-04-13,67,"Whiskey Glasses","Morgan Wallen"
2019-04-13,68,"Good As You","Kane Brown"
2019-04-13,69,"One That Got Away","Michael Ray"
2019-04-13,70,"Monopoly","Ariana Grande & Victoria Monet"
2019-04-13,71,"Miss Me More","Kelsea Ballerini"
2019-04-13,72,"Shot Clock","Ella Mai"
2019-04-13,73,"Make It Sweet","Old Dominion"
2019-04-13,74,"Look What God Gave Her","Thomas Rhett"
2019-04-13,75,"There Was This Girl","Riley Green"
2019-04-13,76,"Girls Need Love","Summer Walker X Drake"
2019-04-13,77,"Undrunk","FLETCHER"
2019-04-13,78,"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy"
2019-04-13,79,"8","Billie Eilish"
2019-04-13,80,"Walk Me Home","P!nk"
2019-04-13,81,"Saturday Nights","Khalid & Kane Brown"
2019-04-13,82,"Last Time That I Checc'd","Nipsey Hussle Featuring YG"
2019-04-13,83,"Twerk","City Girls Featuring Cardi B"
2019-04-13,84,"GIRL","Maren Morris"
2019-04-13,85,"Lovely","Billie Eilish & Khalid"
2019-04-13,86,"Calma","Pedro Capo X Farruko"
2019-04-13,87,"Suge","DaBaby"
2019-04-13,88,"Night Shift","Jon Pardi"
2019-04-13,89,"This Is It","Scotty McCreery"
2019-04-13,90,"Rumor","Lee Brice"
2019-04-13,91,"I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J Balvin"
2019-04-13,92,"Don't Call Me Up","Mabel"
2019-04-13,93,"Dedication","Nipsey Hussle Featuring Kendrick Lamar"
2019-04-13,94,"Ocean Eyes","Billie Eilish"
2019-04-13,95,"Millionaire","Chris Stapleton"
2019-04-13,96,"Talk You Out Of It","Florida Georgia Line"
2019-04-13,97,"Faucet Failure","Ski Mask The Slump God"
2019-04-13,98,"Girl Like You","Jason Aldean"
2019-04-13,99,"Pure Cocaine","Lil Baby"
2019-04-13,100,"Pop Out","Polo G Featuring Lil Tjay"
2019-04-20,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2019-04-20,2,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-04-20,3,"Wow.","Post Malone"
2019-04-20,4,"7 Rings","Ariana Grande"
2019-04-20,5,"Without Me","Halsey"
2019-04-20,6,"Sucker","Jonas Brothers"
2019-04-20,7,"Please Me","Cardi B & Bruno Mars"
2019-04-20,8,"Better","Khalid"
2019-04-20,9,"Middle Child","J. Cole"
2019-04-20,10,"Happier","Marshmello & Bastille"
2019-04-20,11,"Bad Guy","Billie Eilish"
2019-04-20,12,"Dancing With A Stranger","Sam Smith & Normani"
2019-04-20,13,"Shallow","Lady Gaga & Bradley Cooper"
2019-04-20,14,"Eastside","benny blanco, Halsey & Khalid"
2019-04-20,15,"Going Bad","Meek Mill Featuring Drake"
2019-04-20,16,"Sweet But Psycho","Ava Max"
2019-04-20,17,"Thotiana","Blueface"
2019-04-20,18,"Talk","Khalid"
2019-04-20,19,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
2019-04-20,20,"High Hopes","Panic! At The Disco"
2019-04-20,21,"Beautiful Crazy","Luke Combs"
2019-04-20,22,"A Lot","21 Savage"
2019-04-20,23,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-04-20,24,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-04-20,25,"Sicko Mode","Travis Scott"
2019-04-20,26,"Racks In The Middle","Nipsey Hussle Featuring Roddy Ricch & Hit-Boy"
2019-04-20,27,"Cool","Jonas Brothers"
2019-04-20,28,"Murder On My Mind","YNW Melly"
2019-04-20,29,"Be Alright","Dean Lewis"
2019-04-20,30,"Bury A Friend","Billie Eilish"
2019-04-20,31,"Thank U, Next","Ariana Grande"
2019-04-20,32,"Drip Too Hard","Lil Baby & Gunna"
2019-04-20,33,"Pure Water","Mustard & Migos"
2019-04-20,34,"Envy Me","Calboy"
2019-04-20,35,"You Say","Lauren Daigle"
2019-04-20,36,"Look Back At It","A Boogie Wit da Hoodie"
2019-04-20,37,"Better Now","Post Malone"
2019-04-20,38,"Tequila","Dan + Shay"
2019-04-20,39,"When The Party's Over","Billie Eilish"
2019-04-20,40,"Act Up","City Girls"
2019-04-20,41,"Kill This Love","BLACKPINK"
2019-04-20,42,"Baby Shark","Pinkfong"
2019-04-20,43,"Youngblood","5 Seconds Of Summer"
2019-04-20,44,"Money","Cardi B"
2019-04-20,45,"Here Tonight","Brett Young"
2019-04-20,46,"Here With Me","Marshmello Featuring CHVRCHES"
2019-04-20,47,"MIA","Bad Bunny Featuring Drake"
2019-04-20,48,"Look What God Gave Her","Thomas Rhett"
2019-04-20,49,"God's Country","Blake Shelton"
2019-04-20,50,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-04-20,51,"Wish You Were Gay","Billie Eilish"
2019-04-20,52,"Eyes On You","Chase Rice"
2019-04-20,53,"Good As You","Kane Brown"
2019-04-20,54,"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
2019-04-20,55,"My Bad","Khalid"
2019-04-20,56,"Mixed Personalities","YNW Melly Featuring Kanye West"
2019-04-20,57,"Saturday Nights","Khalid & Kane Brown"
2019-04-20,58,"Outta My Head","Khalid With John Mayer"
2019-04-20,59,"Robbery","Juice WRLD"
2019-04-20,60,"Make It Sweet","Old Dominion"
2019-04-20,61,"Worth It","YK Osiris"
2019-04-20,62,"Whiskey Glasses","Morgan Wallen"
2019-04-20,63,"Suge","DaBaby"
2019-04-20,64,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
2019-04-20,65,"Close Friends","Lil Baby"
2019-04-20,66,"Miss Me More","Kelsea Ballerini"
2019-04-20,67,"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy"
2019-04-20,68,"You Should See Me In A Crown","Billie Eilish"
2019-04-20,69,"Monopoly","Ariana Grande & Victoria Monet"
2019-04-20,70,"There Was This Girl","Riley Green"
2019-04-20,71,"My Strange Addiction","Billie Eilish"
2019-04-20,72,"Shot Clock","Ella Mai"
2019-04-20,73,"Walk Me Home","P!nk"
2019-04-20,74,"Bad Liar","Imagine Dragons"
2019-04-20,75,"Double Up","Nipsey Hussle Featuring Belly & DOM KENNEDY"
2019-04-20,76,"Last Time That I Checc'd","Nipsey Hussle Featuring YG"
2019-04-20,77,"Undrunk","FLETCHER"
2019-04-20,78,"Rumor","Lee Brice"
2019-04-20,79,"Night Shift","Jon Pardi"
2019-04-20,80,"Don't Call Me Up","Mabel"
2019-04-20,81,"Girls Need Love","Summer Walker X Drake"
2019-04-20,82,"GIRL","Maren Morris"
2019-04-20,83,"Put A Date On It","Yo Gotti Featuring Lil Baby"
2019-04-20,84,"Don't Pretend","Khalid x SAFE"
2019-04-20,85,"Calma","Pedro Capo X Farruko"
2019-04-20,86,"Xanny","Billie Eilish"
2019-04-20,87,"Bad Luck","Khalid"
2019-04-20,88,"One That Got Away","Michael Ray"
2019-04-20,89,"Pop Out","Polo G Featuring Lil Tjay"
2019-04-20,90,"This Is It","Scotty McCreery"
2019-04-20,91,"Faucet Failure","Ski Mask The Slump God"
2019-04-20,92,"All The Good Girls Go To Hell","Billie Eilish"
2019-04-20,93,"Right Back","Khalid Featuring A Boogie Wit da Hoodie"
2019-04-20,94,"Talk You Out Of It","Florida Georgia Line"
2019-04-20,95,"Inmortal","Aventura"
2019-04-20,96,"Ocean Eyes","Billie Eilish"
2019-04-20,97,"Dedication","Nipsey Hussle Featuring Kendrick Lamar"
2019-04-20,98,"Let Me Down Slowly","Alec Benjamin + Alessia Cara"
2019-04-20,99,"Big Ole Freak","Megan Thee Stallion"
2019-04-20,100,"Victory Lap","Nipsey Hussle Featuring Stacy Barthe"
2019-04-27,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2019-04-27,2,"Wow.","Post Malone"
2019-04-27,3,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-04-27,4,"7 Rings","Ariana Grande"
2019-04-27,5,"Without Me","Halsey"
2019-04-27,6,"Sucker","Jonas Brothers"
2019-04-27,7,"Dancing With A Stranger","Sam Smith & Normani"
2019-04-27,8,"Boy With Luv","BTS Featuring Halsey"
2019-04-27,9,"Bad Guy","Billie Eilish"
2019-04-27,10,"Please Me","Cardi B & Bruno Mars"
2019-04-27,11,"Middle Child","J. Cole"
2019-04-27,12,"Happier","Marshmello & Bastille"
2019-04-27,13,"Sweet But Psycho","Ava Max"
2019-04-27,14,"Thotiana","Blueface"
2019-04-27,15,"Going Bad","Meek Mill Featuring Drake"
2019-04-27,16,"Shallow","Lady Gaga & Bradley Cooper"
2019-04-27,17,"Better","Khalid"
2019-04-27,18,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
2019-04-27,19,"Eastside","benny blanco, Halsey & Khalid"
2019-04-27,20,"Talk","Khalid"
2019-04-27,21,"High Hopes","Panic! At The Disco"
2019-04-27,22,"A Lot","21 Savage"
2019-04-27,23,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-04-27,24,"Beautiful Crazy","Luke Combs"
2019-04-27,25,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-04-27,26,"Sicko Mode","Travis Scott"
2019-04-27,27,"Racks In The Middle","Nipsey Hussle Featuring Roddy Ricch & Hit-Boy"
2019-04-27,28,"Sanguine Paradise","Lil Uzi Vert"
2019-04-27,29,"Murder On My Mind","YNW Melly"
2019-04-27,30,"Be Alright","Dean Lewis"
2019-04-27,31,"Bury A Friend","Billie Eilish"
2019-04-27,32,"Drip Too Hard","Lil Baby & Gunna"
2019-04-27,33,"Pure Water","Mustard & Migos"
2019-04-27,34,"Thank U, Next","Ariana Grande"
2019-04-27,35,"Envy Me","Calboy"
2019-04-27,36,"Act Up","City Girls"
2019-04-27,37,"Look Back At It","A Boogie Wit da Hoodie"
2019-04-27,38,"When The Party's Over","Billie Eilish"
2019-04-27,39,"Better Now","Post Malone"
2019-04-27,40,"You Say","Lauren Daigle"
2019-04-27,41,"Here With Me","Marshmello Featuring CHVRCHES"
2019-04-27,42,"Here Tonight","Brett Young"
2019-04-27,43,"Baby Shark","Pinkfong"
2019-04-27,44,"Eyes On You","Chase Rice"
2019-04-27,45,"MIA","Bad Bunny Featuring Drake"
2019-04-27,46,"God's Country","Blake Shelton"
2019-04-27,47,"Youngblood","5 Seconds Of Summer"
2019-04-27,48,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-04-27,49,"Tequila","Dan + Shay"
2019-04-27,50,"Money","Cardi B"
2019-04-27,51,"Suge","DaBaby"
2019-04-27,52,"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
2019-04-27,53,"Look What God Gave Her","Thomas Rhett"
2019-04-27,54,"Good As You","Kane Brown"
2019-04-27,55,"Whiskey Glasses","Morgan Wallen"
2019-04-27,56,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
2019-04-27,57,"Make It Sweet","Old Dominion"
2019-04-27,58,"Close Friends","Lil Baby"
2019-04-27,59,"Mixed Personalities","YNW Melly Featuring Kanye West"
2019-04-27,60,"Worth It","YK Osiris"
2019-04-27,61,"Robbery","Juice WRLD"
